model	args_model	args_model_md5	args_model_url
Histone/Ctcf/Hsmm/Broad_Std	model_files/wgEncodeBroadHistoneHsmmCtcfStdAlnRep0_train_gS_11_3_1.model.txt	1c23095c52cd108ba152aa81422e6d53	https://zenodo.org/record/1466097/files/wgEncodeBroadHistoneHsmmCtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Histone/Ctcf/Hsmmt/Broad_Std	model_files/wgEncodeBroadHistoneHsmmtCtcfStdAlnRep0_train_gS_11_3_1.model.txt	735f2c6c77a41573a2d4929801c5dd0e	https://zenodo.org/record/1466097/files/wgEncodeBroadHistoneHsmmtCtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Histone/Ctcf/Huvec/Broad_Std	model_files/wgEncodeBroadHistoneHuvecCtcfStdAlnRep0_train_gS_11_3_1.model.txt	7f15e3d41de75a2f8319dfd33e7a91de	https://zenodo.org/record/1466097/files/wgEncodeBroadHistoneHuvecCtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Histone/Ctcf/K562/Broad_Std	model_files/wgEncodeBroadHistoneK562CtcfStdAlnRep0_train_gS_11_3_1.model.txt	7b68ec005d498768d7ee9d66d1c937db	https://zenodo.org/record/1466097/files/wgEncodeBroadHistoneK562CtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Histone/Ctcf/Nha/Broad_Std	model_files/wgEncodeBroadHistoneNhaCtcfStdAlnRep0_train_gS_11_3_1.model.txt	fd414ba31b27d6b632b979d0de6d4531	https://zenodo.org/record/1466097/files/wgEncodeBroadHistoneNhaCtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Histone/Ctcf/Nhdfad/Broad_Std	model_files/wgEncodeBroadHistoneNhdfadCtcfStdAlnRep0_train_gS_11_3_1.model.txt	29cfb4190b054e616a78c159055d488d	https://zenodo.org/record/1466097/files/wgEncodeBroadHistoneNhdfadCtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Histone/Ctcf/Nhek/Broad_Std	model_files/wgEncodeBroadHistoneNhekCtcfStdAlnRep0_train_gS_11_3_1.model.txt	bae51b1f9c2bef60b07c09c8f3380059	https://zenodo.org/record/1466097/files/wgEncodeBroadHistoneNhekCtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Histone/Ctcf/Nhlf/Broad_Std	model_files/wgEncodeBroadHistoneNhlfCtcfStdAlnRep0_train_gS_11_3_1.model.txt	188f79f9d1f22933ae810c090056a8d5	https://zenodo.org/record/1466097/files/wgEncodeBroadHistoneNhlfCtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Histone/Ctcf/Osteobl/Broad_Std	model_files/wgEncodeBroadHistoneOsteoblCtcfStdAlnRep0_train_gS_11_3_1.model.txt	2508c3e03e9e242ab4285166790ec5ed	https://zenodo.org/record/1466097/files/wgEncodeBroadHistoneOsteoblCtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Histone/Pol2b/K562/Broad_Std	model_files/wgEncodeBroadHistoneK562Pol2bStdAlnRep0_train_gS_11_3_1.model.txt	cf7d76d0b9898347adfa11ee48b43921	https://zenodo.org/record/1466097/files/wgEncodeBroadHistoneK562Pol2bStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ap2alpha/Helas3/Sydh_Std	model_files/wgEncodeSydhTfbsHelas3Ap2alphaStdAlnRep0_train_gS_11_3_1.model.txt	8593543fcc6f73ab2a335f21117256db	https://zenodo.org/record/1466097/files/wgEncodeSydhTfbsHelas3Ap2alphaStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ap2gamma/Helas3/Sydh_Std	model_files/wgEncodeSydhTfbsHelas3Ap2gammaStdAlnRep0_train_gS_11_3_1.model.txt	4bedd0cabcf77b2cddf0f93ab0c287ef	https://zenodo.org/record/1466097/files/wgEncodeSydhTfbsHelas3Ap2gammaStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Batf/Gm12878/Haib_Pcr1x	model_files/wgEncodeHaibTfbsGm12878BatfPcr1xAlnRep0_train_gS_11_3_1.model.txt	aa2cb31f5cf05c16d9e0cf96fccebad2	https://zenodo.org/record/1466097/files/wgEncodeHaibTfbsGm12878BatfPcr1xAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Bcl11a/Gm12878/Haib_Pcr1x	model_files/wgEncodeHaibTfbsGm12878Bcl11aPcr1xAlnRep0_train_gS_11_3_1.model.txt	c6426aa8561388bffb75e4c9cdf7f821	https://zenodo.org/record/1466097/files/wgEncodeHaibTfbsGm12878Bcl11aPcr1xAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Bcl3/Gm12878/Haib_Pcr1x	model_files/wgEncodeHaibTfbsGm12878Bcl3Pcr1xAlnRep0_train_gS_11_3_1.model.txt	d04fe9759e8cdf919d01402674ea81f0	https://zenodo.org/record/1466097/files/wgEncodeHaibTfbsGm12878Bcl3Pcr1xAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ccnt2/K562/Sydh_Std	model_files/wgEncodeSydhTfbsK562Ccnt2StdAlnRep0_train_gS_11_3_1.model.txt	52965eb7739a8ec300e18d7d21050d0b	https://zenodo.org/record/1466097/files/wgEncodeSydhTfbsK562Ccnt2StdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Cebpb/Helas3/Sydh_Iggrab	model_files/wgEncodeSydhTfbsHelas3CebpbIggrabAlnRep0_train_gS_11_3_1.model.txt	d969f006c308ea6696a82efa8d95686c	https://zenodo.org/record/1466097/files/wgEncodeSydhTfbsHelas3CebpbIggrabAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Cebpb/Hepg2/Sydh_Forskln_Std	model_files/wgEncodeSydhTfbsHepg2CebpbForsklnStdAlnRep0_train_gS_11_3_1.model.txt	e0377312cae7478128d4780bc7e4db8f	https://zenodo.org/record/1466097/files/wgEncodeSydhTfbsHepg2CebpbForsklnStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Cebpb/Hepg2/Sydh_Iggrab	model_files/wgEncodeSydhTfbsHepg2CebpbIggrabAlnRep0_train_gS_11_3_1.model.txt	e11cc048a8f701264b990bbef35b525f	https://zenodo.org/record/1466097/files/wgEncodeSydhTfbsHepg2CebpbIggrabAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Cebpb/K562/Sydh_Iggrab	model_files/wgEncodeSydhTfbsK562CebpbIggrabAlnRep0_train_gS_11_3_1.model.txt	e6e66114aa6761777c19381fc3b07bc5	https://zenodo.org/record/1466097/files/wgEncodeSydhTfbsK562CebpbIggrabAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Cfos/Helas3/Sydh_Std	model_files/wgEncodeSydhTfbsHelas3CfosStdAlnRep0_train_gS_11_3_1.model.txt	6082664d2431d887d36b107d99e95841	https://zenodo.org/record/1466097/files/wgEncodeSydhTfbsHelas3CfosStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Cfos/Huvec/Sydh_Ucd	model_files/wgEncodeSydhTfbsHuvecCfosUcdAlnRep0_train_gS_11_3_1.model.txt	19e50daf59afa39e8b5ba8602f46004a	https://zenodo.org/record/1466097/files/wgEncodeSydhTfbsHuvecCfosUcdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Chd21250/K562/Sydh_Iggrab	model_files/wgEncodeSydhTfbsK562Chd21250IggrabAlnRep0_train_gS_11_3_1.model.txt	7b279db8ded09a8c3ad4293a53d92776	https://zenodo.org/record/1466097/files/wgEncodeSydhTfbsK562Chd21250IggrabAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Cjun/Helas3/Sydh_Iggrab	model_files/wgEncodeSydhTfbsHelas3CjunIggrabAlnRep0_train_gS_11_3_1.model.txt	d77a2736363ed667a86711ee2a68196c	https://zenodo.org/record/1466097/files/wgEncodeSydhTfbsHelas3CjunIggrabAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Cjun/Hepg2/Sydh_Iggrab	model_files/wgEncodeSydhTfbsHepg2CjunIggrabAlnRep0_train_gS_11_3_1.model.txt	eb7abf9c5da3629247eec975b5ac28b7	https://zenodo.org/record/1466097/files/wgEncodeSydhTfbsHepg2CjunIggrabAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Cjun/Huvec/Sydh_Std	model_files/wgEncodeSydhTfbsHuvecCjunStdAlnRep0_train_gS_11_3_1.model.txt	6e78bd9e98d67fdb36d5e5ed16861ca9	https://zenodo.org/record/1466097/files/wgEncodeSydhTfbsHuvecCjunStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Cjun/K562/Sydh_Ifng30_Std	model_files/wgEncodeSydhTfbsK562CjunIfng30StdAlnRep0_train_gS_11_3_1.model.txt	b5d1bbce8db3c726e78b87f326368d3c	https://zenodo.org/record/1466097/files/wgEncodeSydhTfbsK562CjunIfng30StdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Cjun/K562/Sydh_Std	model_files/wgEncodeSydhTfbsK562CjunStdAlnRep0_train_gS_11_3_1.model.txt	d86ad614d40014c0f80dedd221b91e2a	https://zenodo.org/record/1466097/files/wgEncodeSydhTfbsK562CjunStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Cmyc/K562/Sydh_Ifna6h_Std	model_files/wgEncodeSydhTfbsK562CmycIfna6hStdAlnRep0_train_gS_11_3_1.model.txt	0d0ec1d50766ef711cd6c3c18bb723b6	https://zenodo.org/record/1466097/files/wgEncodeSydhTfbsK562CmycIfna6hStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Cmyc/K562/Sydh_Ifng30_Std	model_files/wgEncodeSydhTfbsK562CmycIfng30StdAlnRep0_train_gS_11_3_1.model.txt	9d2e684e69c7d75bbf5ee8d653997b0d	https://zenodo.org/record/1466097/files/wgEncodeSydhTfbsK562CmycIfng30StdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Cmyc/K562/Sydh_Ifng6h_Std	model_files/wgEncodeSydhTfbsK562CmycIfng6hStdAlnRep0_train_gS_11_3_1.model.txt	9090c889b1d91d57d7d90534796e585e	https://zenodo.org/record/1466097/files/wgEncodeSydhTfbsK562CmycIfng6hStdAlnRep0_train_gS_11_3_1.model.txt?download=1
